id,split_type,family,prompt,expected_dsl,expected_code,prediction,manual_score,notes,selected_candidate,candidate_scores,error_type
code_gen_0321,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 28 日 70% 分位数越多，价值信号越突出。注意窗口、方向和字段选择。,"sub(recip(pb), ts_quantile(recip(pb), 28, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 28, 0.7))
```","```dsl_fire
result = sub(div(volume, market_cap), group_mean(div(volume, market_cap), industry)), group_std(div(volume, market_cap), industry))
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0205,generalization_group,gen_group_abs_pb_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB行业内标准化偏离的绝对值用于测试行业异常程度。,"absolute(div(sub(pb, group_mean(pb, industry)), group_std(pb, industry)))","```dsl_fire
result = absolute(div(sub(pb, group_mean(pb, industry)), group_std(pb, industry)))
```","```dsl_fire
result = div(sub(sqrt(recip(pb)), group_mean(sqrt(recip(pb)), industry)), group_std(sqrt(recip(pb)), industry))
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=20,parse=True,exec=False | c4:score=20,parse=True,exec=False | c5:score=20,parse=True,exec=False",semantic_mismatch
code_gen_0202,generalization_conditional,gen_conditional_xs_vwap_47,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有成交量加权平均价横截面标准化值为正时，才保留 47 日动量。,"where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 47), 0.0)","```dsl_fire
result = where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 47), 0.0)
```","```dsl_fire
result = where(gt(pct_change(volume, 7), xs_mean(log(market_cap))), div(sub(volume, 7), xs_mean(log(market_cap))), xs_std(log(market_cap))))
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0198,generalization_conditional,gen_conditional_xs_vwap_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有成交量加权平均价横截面标准化值为正时，才保留 13 日动量。,"where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(gt(pct_change(volume, xs_mean(volume)), xs_std(volume)), 0.0)
```",,,1,"c1:score=20,parse=True,exec=False | c2:score=0,parse=False,exec=False | c3:score=20,parse=True,exec=False | c4:score=20,parse=True,exec=False | c5:score=20,parse=True,exec=False",execution_error
code_gen_0025,generalization_unseen_window,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 35 日涨幅越高，后续均值回归压力越大。,"neg(pct_change(close, 35))","```dsl_fire
result = neg(pct_change(close, 35))
```","```dsl_fire
result = neg(ts_argmax(close, 3))
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=120,parse=True,exec=True | c4:score=120,parse=True,exec=True | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0112,generalization_time_series,gen_argmax_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 38 日窗口内高点越靠近当前，信号越新。,"neg(ts_argmax(pb, 38))","```dsl_fire
result = neg(ts_argmax(pb, 38))
```","```dsl_fire
result = ts_argmin(ts_lt(pct_change(close, 1), 3)), 3)
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0219,generalization_conditional,gen_conditional_xs_market_cap_73,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有总市值横截面标准化值为正时，才保留 73 日动量。,"where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 73), 0.0)","```dsl_fire
result = where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 73), 0.0)
```","```dsl_fire
result = where(gt(ts_xor(pct_change(close, 7), xs_mean(pct_change(close, 7))), neg(sign(pct_change(close, 7))), 0.0)
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0288,generalization_composition_paraphrase,gen_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，同时偏好 50 日风险调整趋势高且收益方差低的股票。这个想法需要转换为函数式 DSL。,"add(div(pct_change(close, 50), ts_std(pct_change(close, 1), 50)), neg(ts_var(pct_change(close, 1), 50)))","```dsl_fire
result = add(div(pct_change(close, 50), ts_std(pct_change(close, 1), 50)), neg(ts_var(pct_change(close, 1), 50)))
```","```dsl_fire
result = where(log(market_cap), log(market_cap)), neg(log(market_cap))
```",,,1,"c1:score=20,parse=True,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",execution_error
code_gen_0217,generalization_conditional,gen_conditional_xs_market_cap_31,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有总市值横截面标准化值为正时，才保留 31 日动量。,"where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 31), 0.0)","```dsl_fire
result = where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 31), 0.0)
```","```dsl_fire
result = where(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), 1.0)
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0121,generalization_time_series,gen_argmin_market_cap,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：总市值在 27 日窗口内低点位置用于描述路径。,"ts_argmin(market_cap, 27)","```dsl_fire
result = ts_argmin(market_cap, 27)
```","```dsl_fire
result = ts_argmaxmin(market_cap, 2)
```",,,5,"c1:score=20,parse=True,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=20,parse=True,exec=False | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0127,generalization_time_series,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：成交量在 11 日窗口内低点位置用于描述路径。,"ts_argmin(volume, 11)","```dsl_fire
result = ts_argmin(volume, 11)
```","```dsl_fire
result = ts_win_cumsum(pct_change(volume, 1), 20)
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=120,parse=True,exec=True | c4:score=120,parse=True,exec=True | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0327,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 42 日 70% 分位数越多，价值信号越突出。不要使用解释文字。,"sub(recip(pb), ts_quantile(recip(pb), 42, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 42, 0.7))
```","```dsl_fire
result = div(sub(close, ts_min(low, 10)), sub(ts_max(high, 10), ts_min(low, 10)))
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=120,parse=True,exec=True | c4:score=120,parse=True,exec=True | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0326,generalization_regression_paraphrase,gen_corr_flow_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，用 42 日滚动相关衡量换手代理和日收益同步性。注意窗口、方向和字段选择。,"ts_corr(div(volume, market_cap), pct_change(close, 1), 42)","```dsl_fire
result = ts_corr(div(volume, market_cap), pct_change(close, 1), 42)
```","```dsl_fire
result = ts_cumsum(pct_change(close, 1), 45)
```",,,1,"c1:score=20,parse=True,exec=False | c2:score=20,parse=True,exec=False | c3:score=20,parse=True,exec=False | c4:score=20,parse=True,exec=False | c5:score=20,parse=True,exec=False",execution_error
code_gen_0311,generalization_conditional_paraphrase,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有小市值暴露高于市场均值时，才保留 22 日流动性信号。注意窗口、方向和字段选择。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 22)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 22)), 0.0)
```","```dsl_fire
result = where(logical_or(gt(log(market_cap), xs_mean(log(market_cap))), gt(neg(log(market_cap)), xs_mean(neg(log(market_cap))))), add(neg(log(market_cap)), div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0291,generalization_composition_paraphrase,gen_industry_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，行业内估值便宜且 50 日动量较强的股票得分更高。注意窗口、方向和字段选择。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 50))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 50))
```","```dsl_fire
result = div(ts_cap), group_mean(log(market_cap), industry)), group_sum(absolute(pct_change(close, 20)), industry))
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0014,generalization_unseen_window,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 12 日日收益波动越低，稳定性越强。,"neg(ts_std(pct_change(close, 1), 12))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 12))
```","```dsl_fire
result = sub(ts_mean(pct_change(close, 1), 20), ts_std(pct_change(close, 1), 120))
```",,,1,"c1:score=20,parse=True,exec=False | c2:score=20,parse=True,exec=False | c3:score=20,parse=True,exec=False | c4:score=20,parse=True,exec=False | c5:score=0,parse=False,exec=False",execution_error
code_gen_0000,generalization_unseen_window,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 4 日收盘价收益越高，短期趋势越强。,"pct_change(close, 4)","```dsl_fire
result = pct_change(close, 4)
```","```dsl_fire
result = ts_prod(ts_mean(volume, 1), 20)
```",,,2,"c1:score=0,parse=False,exec=False | c2:score=120,parse=True,exec=True | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",semantic_mismatch
code_gen_0085,generalization_regression,gen_reg_value_size,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：用 42 日滚动回归提取估值相对市值解释后的残差。,"ts_reg_res(recip(pb), log(market_cap), 42)","```dsl_fire
result = ts_reg_res(recip(pb), log(market_cap), 42)
```","```dsl_fire
result = div(ts_quantile(log), absolute(pct_change(close, 1), xs_mean(pct_change(close, 1), 2)))
```",,,2,"c1:score=0,parse=False,exec=False | c2:score=20,parse=True,exec=False | c3:score=20,parse=True,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",execution_error
code_gen_0521,generalization_composition_paraphrase,gen_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，同时偏好低 PB 估值和 25 日价格动量强的股票。注意窗口、方向和字段选择。,"add(recip(pb), pct_change(close, 25))","```dsl_fire
result = add(recip(pb), pct_change(close, 25))
```","```dsl_fire
result = div(ts_std(pct_change(close, 1), 20), ts_last(shift(close, 1), 20))
```",,,2,"c1:score=0,parse=False,exec=False | c2:score=120,parse=True,exec=True | c3:score=0,parse=False,exec=False | c4:score=20,parse=True,exec=False | c5:score=0,parse=False,exec=False",semantic_mismatch
code_gen_0369,generalization_time_series_paraphrase,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，成交量在 17 日窗口内低点位置用于描述路径。最终只需要一个可执行表达式。,"ts_argmin(volume, 17)","```dsl_fire
result = ts_argmin(volume, 17)
```","```dsl_fire
result = div(sub)
```",,,1,"c1:score=20,parse=True,exec=False | c2:score=20,parse=True,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",execution_error
code_gen_0153,generalization_time_series,gen_argmin_close,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：收盘价在 38 日窗口内低点位置用于描述路径。,"ts_argmin(close, 38)","```dsl_fire
result = ts_argmin(close, 38)
```","```dsl_fire
result = div(sub(shift(close, 3)), shift(close, 1), shift(close, 1), 3))
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0477,generalization_cross_section_paraphrase,gen_xs_prod_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，31 日收益加一后的横截面乘积测试未见聚合结构。不要使用解释文字。,"xs_prod(add(1.0, pct_change(close, 31)))","```dsl_fire
result = xs_prod(add(1.0, pct_change(close, 31)))
```","```dsl_fire
result = pct_change(close, 3), 3.0)
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0026,generalization_unseen_window,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 35 日日收益波动越低，稳定性越强。,"neg(ts_std(pct_change(close, 1), 35))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 35))
```","```dsl_fire
result = pct_change(close, 3)
```",,,5,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0506,generalization_unseen_window_paraphrase,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，过去 35 日日收益波动越低，稳定性越强。注意窗口、方向和字段选择。,"neg(ts_std(pct_change(close, 1), 35))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 35))
```","```dsl_fire
result = ts_l_res(logical_l_cap)), pct_change(close, 3), 3)
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0166,generalization_conditional,gen_conditional_xs_close_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有收盘价横截面标准化值为正时，才保留 13 日动量。,"where(gt(div(sub(close, xs_mean(close)), xs_std(close)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(close, xs_mean(close)), xs_std(close)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), gt(pct_change(close, 20), 0
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0414,generalization_conditional_paraphrase,gen_conditional_xs_high_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，只有最高价横截面标准化值为正时，才保留 13 日动量。最终只需要一个可执行表达式。,"where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(gt(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), xs_mean(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))), gt(pct_change(close, 20), 0
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0052,generalization_composition,gen_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：同时偏好 75 日风险调整趋势高且收益方差低的股票。,"add(div(pct_change(close, 75), ts_std(pct_change(close, 1), 75)), neg(ts_var(pct_change(close, 1), 75)))","```dsl_fire
result = add(div(pct_change(close, 75), ts_std(pct_change(close, 1), 75)), neg(ts_var(pct_change(close, 1), 75)))
```","```dsl_fire
result = sub(ts_mean(pct_change(close, 1), 7), xs_mean(ts_std(pct_change(close, 1), 20)))
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=120,parse=True,exec=True | c4:score=120,parse=True,exec=True | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0109,generalization_time_series,gen_argmin_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 17 日窗口内低点位置用于描述路径。,"ts_argmin(pb, 17)","```dsl_fire
result = ts_argmin(pb, 17)
```","```dsl_fire
result = div(pb, ts_close, 20)
```",,,1,"c1:score=20,parse=True,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=20,parse=True,exec=False",execution_error
code_gen_0301,generalization_regression_paraphrase,gen_reg_value_size,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：用 9 日滚动回归提取估值相对市值解释后的残差。注意窗口、方向和字段选择。,"ts_reg_res(recip(pb), log(market_cap), 9)","```dsl_fire
result = ts_reg_res(recip(pb), log(market_cap), 9)
```","```dsl_fire
result = ts_win_cumsum(pct_change(close, 1), 90)
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=120,parse=True,exec=True | c4:score=120,parse=True,exec=True | c5:score=120,parse=True,exec=True",semantic_mismatch
code_gen_0195,generalization_conditional,gen_conditional_xs_volume_73,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有成交量横截面标准化值为正时，才保留 73 日动量。,"where(gt(div(sub(volume, xs_mean(volume)), xs_std(volume)), 0.0), pct_change(close, 73), 0.0)","```dsl_fire
result = where(gt(div(sub(volume, xs_mean(volume)), xs_std(volume)), 0.0), pct_change(close, 73), 0.0)
```","```dsl_fire
result = where(gt(ts_xor(pct_change(close, 7), xs_mean(pct_change(close, 7), xs_mean(pct_change(close, 7), 0.0)), pct_change(close, 7), 0.0)
```",,,1,"c1:score=0,parse=False,exec=False | c2:score=0,parse=False,exec=False | c3:score=0,parse=False,exec=False | c4:score=0,parse=False,exec=False | c5:score=0,parse=False,exec=False",parse_error
code_gen_0247,generalization_unseen_window_paraphrase,gen_unseen_window_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：短期成交量相对 6 日均量越高，放量越明显。不要使用解释文字。,"div(ts_mean(volume, 2), ts_mean(volume, 6))","```dsl_fire
result = div(ts_mean(volume, 2), ts_mean(volume, 6))
```","```dsl_fire
result = pct_change(volume, 10)
```",,,1,"c1:score=120,parse=True,exec=True | c2:score=120,parse=True,exec=True | c3:score=120,parse=True,exec=True | c4:score=120,parse=True,exec=True | c5:score=120,parse=True,exec=True",semantic_mismatch
