id,split_type,family,prompt,expected_dsl,expected_code,prediction,manual_score,notes,error_type
code_gen_0321,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 28 日 70% 分位数越多，价值信号越突出。注意窗口、方向和字段选择。,"sub(recip(pb), ts_quantile(recip(pb), 28, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 28, 0.7))
```","```dsl_fire
result = sub(recip(pb), ts_std(recip(pb), ts_std(recip(pb), 0.0))
```",,,parse_error
code_gen_0205,generalization_group,gen_group_abs_pb_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB行业内标准化偏离的绝对值用于测试行业异常程度。,"absolute(div(sub(pb, group_mean(pb, industry)), group_std(pb, industry)))","```dsl_fire
result = absolute(div(sub(pb, group_mean(pb, industry)), group_std(pb, industry)))
```","</think>




</think>




```",,,format_error
code_gen_0202,generalization_conditional,gen_conditional_xs_vwap_47,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有成交量加权平均价横截面标准化值为正时，才保留 47 日动量。,"where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 47), 0.0)","```dsl_fire
result = where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 47), 0.0)
```","```dsl_fire
result = where(ge(vwap, xs_mean(vwap)), div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), xs_mean(vwap)), 4.0)
```",,,parse_error
code_gen_0198,generalization_conditional,gen_conditional_xs_vwap_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有成交量加权平均价横截面标准化值为正时，才保留 13 日动量。,"where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(ge(vwap, xs_mean(vwap)), xs_mean(vwap)), le(div(vwap, xs_mean(vwap)), xs_std(vwap)), 0.0)
```",,,parse_error
code_gen_0025,generalization_unseen_window,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 35 日涨幅越高，后续均值回归压力越大。,"neg(pct_change(close, 35))","```dsl_fire
result = neg(pct_change(close, 35))
```","</think>

```dsl_fire



```",,,format_error
code_gen_0112,generalization_time_series,gen_argmax_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 38 日窗口内高点越靠近当前，信号越新。,"neg(ts_argmax(pb, 38))","```dsl_fire
result = neg(ts_argmax(pb, 38))
```","</think>

</think>

```dsl_fire
result = ts_fire

```",,,format_error
code_gen_0219,generalization_conditional,gen_conditional_xs_market_cap_73,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有总市值横截面标准化值为正时，才保留 73 日动量。,"where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 73), 0.0)","```dsl_fire
result = where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 73), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 7), xs_mean(pct_change(close, 7))), -1p(volume, 7)), 0.0)
```",,,parse_error
code_gen_0288,generalization_composition_paraphrase,gen_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，同时偏好 50 日风险调整趋势高且收益方差低的股票。这个想法需要转换为函数式 DSL。,"add(div(pct_change(close, 50), ts_std(pct_change(close, 1), 50)), neg(ts_var(pct_change(close, 1), 50)))","```dsl_fire
result = add(div(pct_change(close, 50), ts_std(pct_change(close, 1), 50)), neg(ts_var(pct_change(close, 1), 50)))
```","```dsl_fire
result = sub(pct_change(close, 20), xs_mean(pct_change(close, 20)))
```",,,semantic_mismatch
code_gen_0217,generalization_conditional,gen_conditional_xs_market_cap_31,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有总市值横截面标准化值为正时，才保留 31 日动量。,"where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 31), 0.0)","```dsl_fire
result = where(gt(div(sub(market_cap, xs_mean(market_cap)), xs_std(market_cap)), 0.0), pct_change(close, 31), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 3), xs_mean(pct_change(close, 3), 3), gt(pct_change(close, 3), xs_mean(pct_change(close, 3)))), 3.0)
```",,,execution_error
code_gen_0121,generalization_time_series,gen_argmin_market_cap,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：总市值在 27 日窗口内低点位置用于描述路径。,"ts_argmin(market_cap, 27)","```dsl_fire
result = ts_argmin(market_cap, 27)
```","```dsl_fire
result = div(sub(pct_change(market_cap, 2), 2)
```",,,parse_error
code_gen_0127,generalization_time_series,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：成交量在 11 日窗口内低点位置用于描述路径。,"ts_argmin(volume, 11)","```dsl_fire
result = ts_argmin(volume, 11)
```","```dsl_fire
result = div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))
```",,,semantic_mismatch
code_gen_0327,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 42 日 70% 分位数越多，价值信号越突出。不要使用解释文字。,"sub(recip(pb), ts_quantile(recip(pb), 42, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 42, 0.7))
```","```dsl_fire
result = sub(recip(pb), div(pct_change(close, 3), ts_std(pct_change(close, 1), 45))
```",,,parse_error
code_gen_0326,generalization_regression_paraphrase,gen_corr_flow_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，用 42 日滚动相关衡量换手代理和日收益同步性。注意窗口、方向和字段选择。,"ts_corr(div(volume, market_cap), pct_change(close, 1), 42)","```dsl_fire
result = ts_corr(div(volume, market_cap), pct_change(close, 1), 42)
```","```dsl_fire
result = div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb)))
```",,,semantic_mismatch
code_gen_0311,generalization_conditional_paraphrase,gen_size_liquidity_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有小市值暴露高于市场均值时，才保留 22 日流动性信号。注意窗口、方向和字段选择。,"where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 22)), 0.0)","```dsl_fire
result = where(gt(neg(log(market_cap)), xs_mean(neg(log(market_cap)))), log1p(ts_mean(volume, 22)), 0.0)
```","```dsl_fire
result = where(logicalical_xor(gt(log(market_cap), xs_mean(log(market_cap)))), gt(log1p(ts_mean(volume, 20)), xs_mean(log1p(ts_mean(volume, 20))))), neg(log(market_cap)), 0.0)
```",,,parse_error
code_gen_0291,generalization_composition_paraphrase,gen_industry_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，行业内估值便宜且 50 日动量较强的股票得分更高。注意窗口、方向和字段选择。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 50))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 50))
```","```dsl_fire
result = sub(ts_mean(pct_change(close, 20), 20)), neg(log1p(ts_mean(volume, 20))), neg(log1p(ts_mean(volume, 20))), 0.0)
```",,,parse_error
code_gen_0014,generalization_unseen_window,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 12 日日收益波动越低，稳定性越强。,"neg(ts_std(pct_change(close, 1), 12))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 12))
```","</think>


</think>




```dsl_fire
result = ts_f(pct_change(close, 1), pct_change(close, 1), 0.0)
```",,,format_error
code_gen_0000,generalization_unseen_window,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 4 日收盘价收益越高，短期趋势越强。,"pct_change(close, 4)","```dsl_fire
result = pct_change(close, 4)
```","</think>

```dsl_fire



```",,,format_error
code_gen_0085,generalization_regression,gen_reg_value_size,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：用 42 日滚动回归提取估值相对市值解释后的残差。,"ts_reg_res(recip(pb), log(market_cap), 42)","```dsl_fire
result = ts_reg_res(recip(pb), log(market_cap), 42)
```","</think>














```",,,format_error
code_gen_0521,generalization_composition_paraphrase,gen_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，同时偏好低 PB 估值和 25 日价格动量强的股票。注意窗口、方向和字段选择。,"add(recip(pb), pct_change(close, 25))","```dsl_fire
result = add(recip(pb), pct_change(close, 25))
```","```dsl_fire
result = where(lt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), neg(pct_change(close, 20)))
```",,,parse_error
code_gen_0369,generalization_time_series_paraphrase,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，成交量在 17 日窗口内低点位置用于描述路径。最终只需要一个可执行表达式。,"ts_argmin(volume, 17)","```dsl_fire
result = ts_argmin(volume, 17)
```","```dsl_fire
result = ts_argmaxminimum(pct_change(volume, 20), neg(volume, 10)), neg(log(market_cap)))
```",,,parse_error
code_gen_0153,generalization_time_series,gen_argmin_close,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：收盘价在 38 日窗口内低点位置用于描述路径。,"ts_argmin(close, 38)","```dsl_fire
result = ts_argmin(close, 38)
```","```dsl_fire
result = ts_argmaxminimum(pct_change(close, 3))
```",,,execution_error
code_gen_0477,generalization_cross_section_paraphrase,gen_xs_prod_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，31 日收益加一后的横截面乘积测试未见聚合结构。不要使用解释文字。,"xs_prod(add(1.0, pct_change(close, 31)))","```dsl_fire
result = xs_prod(add(1.0, pct_change(close, 31)))
```","</think>


```dsl_fire





```",,,format_error
code_gen_0026,generalization_unseen_window,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 35 日日收益波动越低，稳定性越强。,"neg(ts_std(pct_change(close, 1), 35))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 35))
```","```dsl_fire
result = pct_change(pct_change(close, 3), 45)
```",,,semantic_mismatch
code_gen_0506,generalization_unseen_window_paraphrase,gen_unseen_window_vol,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，过去 35 日日收益波动越低，稳定性越强。注意窗口、方向和字段选择。,"neg(ts_std(pct_change(close, 1), 35))","```dsl_fire
result = neg(ts_std(pct_change(close, 1), 35))
```","```dsl_fire
result = div(ts_mean(pct_change(close, 1), 3), ts_std(pct_change(close, 1), 3))
```",,,semantic_mismatch
code_gen_0166,generalization_conditional,gen_conditional_xs_close_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有收盘价横截面标准化值为正时，才保留 13 日动量。,"where(gt(div(sub(close, xs_mean(close)), xs_std(close)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(close, xs_mean(close)), xs_std(close)), 0.0), pct_change(close, 13), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 20), xs_mean(pct_change(close, 20))), gt(div(sub(pct_change(close, 20), ts_mean(close, 20)), ts_std(close, 20)), xs_mean(div(sub(close, 20), ts_std(close, 20)), ts_std(log1p(",,,format_error
code_gen_0414,generalization_conditional_paraphrase,gen_conditional_xs_high_13,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，只有最高价横截面标准化值为正时，才保留 13 日动量。最终只需要一个可执行表达式。,"where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 13), 0.0)","```dsl_fire
result = where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 13), 0.0)
```","</think>




</think>




```",,,format_error
code_gen_0052,generalization_composition,gen_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：同时偏好 75 日风险调整趋势高且收益方差低的股票。,"add(div(pct_change(close, 75), ts_std(pct_change(close, 1), 75)), neg(ts_var(pct_change(close, 1), 75)))","```dsl_fire
result = add(div(pct_change(close, 75), ts_std(pct_change(close, 1), 75)), neg(ts_var(pct_change(close, 1), 75)))
```","</think>


```dsl_fire





```",,,format_error
code_gen_0109,generalization_time_series,gen_argmin_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 17 日窗口内低点位置用于描述路径。,"ts_argmin(pb, 17)","```dsl_fire
result = ts_argmin(pb, 17)
```","```dsl_fire
result = div(sub(pb, ts_min(low, 20)), sub(ts_max(high, 20), ts_min(low, 20)))
```",,,semantic_mismatch
code_gen_0301,generalization_regression_paraphrase,gen_reg_value_size,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：用 9 日滚动回归提取估值相对市值解释后的残差。注意窗口、方向和字段选择。,"ts_reg_res(recip(pb), log(market_cap), 9)","```dsl_fire
result = ts_reg_res(recip(pb), log(market_cap), 9)
```","</think>


```dsl_fire





```",,,format_error
code_gen_0195,generalization_conditional,gen_conditional_xs_volume_73,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有成交量横截面标准化值为正时，才保留 73 日动量。,"where(gt(div(sub(volume, xs_mean(volume)), xs_std(volume)), 0.0), pct_change(close, 73), 0.0)","```dsl_fire
result = where(gt(div(sub(volume, xs_mean(volume)), xs_std(volume)), 0.0), pct_change(close, 73), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 7), xs_mean(pct_change(close, 7))), -1p(volume, 7)), 0.0)
```",,,parse_error
code_gen_0247,generalization_unseen_window_paraphrase,gen_unseen_window_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：短期成交量相对 6 日均量越高，放量越明显。不要使用解释文字。,"div(ts_mean(volume, 2), ts_mean(volume, 6))","```dsl_fire
result = div(ts_mean(volume, 2), ts_mean(volume, 6))
```","```dsl_fire
result = div(volume, ts_mean(volume, 20))
```",,,semantic_mismatch
code_gen_0451,generalization_conditional_paraphrase,gen_conditional_xs_pb_73,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：只有市净率 PB横截面标准化值为正时，才保留 73 日动量。注意窗口、方向和字段选择。,"where(gt(div(sub(pb, xs_mean(pb)), xs_std(pb)), 0.0), pct_change(close, 73), 0.0)","```dsl_fire
result = where(gt(div(sub(pb, xs_mean(pb)), xs_std(pb)), 0.0), pct_change(close, 73), 0.0)
```","```dsl_fire
result = where(gt(pct_change(pb, 7), xs_mean(pct_change(pct_change(close, 7)), 3)), neg(neg(log(neg(log(market_cap)), 0.0)), 7)
```",,,parse_error
code_gen_0284,generalization_composition_paraphrase,gen_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，同时偏好 35 日风险调整趋势高且收益方差低的股票。最终只需要一个可执行表达式。,"add(div(pct_change(close, 35), ts_std(pct_change(close, 1), 35)), neg(ts_var(pct_change(close, 1), 35)))","```dsl_fire
result = add(div(pct_change(close, 35), ts_std(pct_change(close, 1), 35)), neg(ts_var(pct_change(close, 1), 35)))
```","```dsl_fire
result = sub(ts_std(pct_change(close, 1),), ts_std(pct_change(close, 1), 45))
```",,,semantic_mismatch
code_gen_0366,generalization_time_series_paraphrase,gen_argmax_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，成交量在 11 日窗口内高点越靠近当前，信号越新。注意窗口、方向和字段选择。,"neg(ts_argmax(volume, 11))","```dsl_fire
result = neg(ts_argmax(volume, 11))
```","```dsl_fire
result = div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))
```",,,semantic_mismatch
code_gen_0099,generalization_time_series,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：估值便宜程度高于自身 85 日 70% 分位数越多，价值信号越突出。,"sub(recip(pb), ts_quantile(recip(pb), 85, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 85, 0.7))
```","```dsl_fire
result = sub(recip(pb), ts_std(recip(pb), ts_std(pct_change(close, 1), 20))
```",,,parse_error
code_gen_0260,generalization_unseen_window_paraphrase,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，过去 25 日收盘价收益越高，短期趋势越强。请保持字段和算子命名规范。,"pct_change(close, 25)","```dsl_fire
result = pct_change(close, 25)
```","```dsl_fire
result = pct_change(close, 60)

```",,,semantic_mismatch
code_gen_0037,generalization_unseen_window,gen_unseen_window_reversal,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：过去 120 日涨幅越高，后续均值回归压力越大。,"neg(pct_change(close, 120))","```dsl_fire
result = neg(pct_change(close, 120))
```","```dsl_fire
result = neg(pct_change(close, 1), pct_change(close, 1), 0.2))
```",,,parse_error
code_gen_0049,generalization_composition,gen_value_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：同时偏好低 PB 估值和 50 日价格动量强的股票。,"add(recip(pb), pct_change(close, 50))","```dsl_fire
result = add(recip(pb), pct_change(close, 50))
```","</think>


```dsl_fire





```",,,format_error
code_gen_0230,generalization_cross_section,gen_xs_prod_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：19 日收益加一后的横截面乘积测试未见聚合结构。,"xs_prod(add(1.0, pct_change(close, 19)))","```dsl_fire
result = xs_prod(add(1.0, pct_change(close, 19)))
```","</think>




</think>


```",,,format_error
code_gen_0252,generalization_unseen_window_paraphrase,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，过去 12 日收盘价收益越高，短期趋势越强。不要使用解释文字。,"pct_change(close, 12)","```dsl_fire
result = pct_change(close, 12)
```","```dsl_fire
result = pct_change(close, 60)

```",,,semantic_mismatch
code_gen_0094,generalization_group,gen_value_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：行业中性估值便宜且 85 日风险调整动量强的股票更有吸引力。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 85), ts_std(pct_change(close, 1), 85)))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 85), ts_std(pct_change(close, 1), 85)))
```","```dsl_fire
result = div(sub(recip(pb), xs_mean(recip(pb))), group_std(recip(pb), industry)), shift(close, 5))
```",,,parse_error
code_gen_0088,generalization_group,gen_value_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：行业中性估值便宜且 55 日风险调整动量强的股票更有吸引力。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 55), ts_std(pct_change(close, 1), 55)))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 55), ts_std(pct_change(close, 1), 55)))
```","```dsl_fire
result = div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry))
```",,,semantic_mismatch
code_gen_0375,generalization_time_series_paraphrase,gen_argmin_volume,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，成交量在 66 日窗口内低点位置用于描述路径。请保持字段和算子命名规范。,"ts_argmin(volume, 66)","```dsl_fire
result = ts_argmin(volume, 66)
```","```dsl_fire
result = div(sub(volume, ts_mean(volume, 20)), ts_std(volume, 20))
```",,,semantic_mismatch
code_gen_0504,generalization_unseen_window_paraphrase,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，过去 35 日收盘价收益越高，短期趋势越强。最终只需要一个可执行表达式。,"pct_change(close, 35)","```dsl_fire
result = pct_change(close, 35)
```","```dsl_fire
result = pct_change(close, 3)

```",,,semantic_mismatch
code_gen_0264,generalization_unseen_window_paraphrase,gen_unseen_window_momentum,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，过去 35 日收盘价收益越高，短期趋势越强。最终只需要一个可执行表达式。,"pct_change(close, 35)","```dsl_fire
result = pct_change(close, 35)
```","```dsl_fire
result = pct_change(close, 3)

```",,,semantic_mismatch
code_gen_0067,generalization_regression,gen_reg_value_size,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：用 14 日滚动回归提取估值相对市值解释后的残差。,"ts_reg_res(recip(pb), log(market_cap), 14)","```dsl_fire
result = ts_reg_res(recip(pb), log(market_cap), 14)
```","</think>




</think>




</think>


```",,,format_error
code_gen_0082,generalization_group,gen_value_quality_trend,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：行业中性估值便宜且 42 日风险调整动量强的股票更有吸引力。,"add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 42), ts_std(pct_change(close, 1), 42)))","```dsl_fire
result = add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), div(pct_change(close, 42), ts_std(pct_change(close, 1), 42)))
```","```dsl_fire
result = ts_std(pct_change(close, 1), 45)
```",,,semantic_mismatch
