case_id,family,idea,dsl,source,operators
op_case_0026,v21_industry_value_rank_like,在行业内对PB 倒数的横截面标准化价值做标准化，得到行业中性估值信号。,"div(sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), group_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), industry)), group_std(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), industry))",group_v21,"div,sub,group_std,div,group_mean,div,sub,xs_std,div,sub,xs_std,recip,xs_mean,recip,sub,xs_std,recip,xs_mean,recip,recip,recip,xs_mean,recip,recip,recip"
op_case_0027,v21_value_abs_value_rank_like,衡量PB 倒数的横截面标准化价值相对横截面的异常偏离幅度。,"absolute(div(sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), xs_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))), xs_std(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))))",cross_section_v21,"absolute,div,sub,xs_std,div,xs_mean,div,sub,xs_std,div,sub,xs_std,recip,xs_mean,recip,sub,xs_std,recip,xs_mean,recip,recip,recip,xs_mean,recip,recip,recip"
op_case_0028,v21_value_size_spread_value_small_size,偏好低 PB 价值暴露更强且小市值暴露更弱的股票。,"sub(recip(pb), neg(log(market_cap)))",fundamental_v21,"sub,recip,neg,log"
op_case_0029,v21_value_size_gate_value_small_size,只有当低 PB 价值暴露高于市场均值时，才保留小市值暴露信号。,"where(gt(recip(pb), xs_mean(recip(pb))), neg(log(market_cap)), 0.0)",conditional_v21,"where,gt,neg,recip,xs_mean,log,recip"
op_case_0030,v21_value_size_add_value_large_size,同时考虑低 PB 价值暴露和大市值暴露，两个风格越强综合得分越高。,"add(recip(pb), log(market_cap))",fundamental_v21,"add,recip,log"
op_case_0031,v21_value_size_spread_value_large_size,偏好低 PB 价值暴露更强且大市值暴露更弱的股票。,"sub(recip(pb), log(market_cap))",fundamental_v21,"sub,recip,log"
op_case_0032,v21_value_size_gate_value_large_size,只有当低 PB 价值暴露高于市场均值时，才保留大市值暴露信号。,"where(gt(recip(pb), xs_mean(recip(pb))), log(market_cap), 0.0)",conditional_v21,"where,gt,log,recip,xs_mean,recip"
op_case_0033,v21_value_size_add_value_size_rank_like,同时考虑低 PB 价值暴露和市值对数的横截面标准化规模，两个风格越强综合得分越高。,"add(recip(pb), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"add,recip,div,sub,xs_std,log,xs_mean,log,log"
op_case_0034,v21_value_size_spread_value_size_rank_like,偏好低 PB 价值暴露更强且市值对数的横截面标准化规模更弱的股票。,"sub(recip(pb), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"sub,recip,div,sub,xs_std,log,xs_mean,log,log"
op_case_0035,v21_value_size_gate_value_size_rank_like,只有当低 PB 价值暴露高于市场均值时，才保留市值对数的横截面标准化规模信号。,"where(gt(recip(pb), xs_mean(recip(pb))), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), 0.0)",conditional_v21,"where,gt,div,recip,xs_mean,sub,xs_std,recip,log,xs_mean,log,log"
op_case_0036,v21_value_size_add_value_small_size_rank_like,同时考虑低 PB 价值暴露和小市值的横截面标准化暴露，两个风格越强综合得分越高。,"add(recip(pb), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"add,recip,neg,div,sub,xs_std,log,xs_mean,log,log"
op_case_0037,v21_value_size_spread_value_small_size_rank_like,偏好低 PB 价值暴露更强且小市值的横截面标准化暴露更弱的股票。,"sub(recip(pb), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"sub,recip,neg,div,sub,xs_std,log,xs_mean,log,log"
op_case_0038,v21_value_size_gate_value_small_size_rank_like,只有当低 PB 价值暴露高于市场均值时，才保留小市值的横截面标准化暴露信号。,"where(gt(recip(pb), xs_mean(recip(pb))), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), 0.0)",conditional_v21,"where,gt,neg,recip,xs_mean,div,recip,sub,xs_std,log,xs_mean,log,log"
op_case_0039,v21_value_size_add_value_log_small_size,同时考虑低 PB 价值暴露的自然对数压缩和小市值暴露，两个风格越强综合得分越高。,"add(log(recip(pb)), neg(log(market_cap)))",fundamental_v21,"add,log,neg,recip,log"
op_case_0040,v21_value_size_spread_value_log_small_size,偏好低 PB 价值暴露的自然对数压缩更强且小市值暴露更弱的股票。,"sub(log(recip(pb)), neg(log(market_cap)))",fundamental_v21,"sub,log,neg,recip,log"
op_case_0041,v21_value_size_gate_value_log_small_size,只有当低 PB 价值暴露的自然对数压缩高于市场均值时，才保留小市值暴露信号。,"where(gt(log(recip(pb)), xs_mean(log(recip(pb)))), neg(log(market_cap)), 0.0)",conditional_v21,"where,gt,neg,log,xs_mean,log,recip,log,recip"
op_case_0042,v21_value_size_add_value_log_large_size,同时考虑低 PB 价值暴露的自然对数压缩和大市值暴露，两个风格越强综合得分越高。,"add(log(recip(pb)), log(market_cap))",fundamental_v21,"add,log,log,recip"
op_case_0043,v21_value_size_spread_value_log_large_size,偏好低 PB 价值暴露的自然对数压缩更强且大市值暴露更弱的股票。,"sub(log(recip(pb)), log(market_cap))",fundamental_v21,"sub,log,log,recip"
op_case_0044,v21_value_size_gate_value_log_large_size,只有当低 PB 价值暴露的自然对数压缩高于市场均值时，才保留大市值暴露信号。,"where(gt(log(recip(pb)), xs_mean(log(recip(pb)))), log(market_cap), 0.0)",conditional_v21,"where,gt,log,log,xs_mean,recip,log,recip"
op_case_0045,v21_value_size_add_value_log_size_rank_like,同时考虑低 PB 价值暴露的自然对数压缩和市值对数的横截面标准化规模，两个风格越强综合得分越高。,"add(log(recip(pb)), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"add,log,div,recip,sub,xs_std,log,xs_mean,log,log"
op_case_0046,v21_value_size_spread_value_log_size_rank_like,偏好低 PB 价值暴露的自然对数压缩更强且市值对数的横截面标准化规模更弱的股票。,"sub(log(recip(pb)), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"sub,log,div,recip,sub,xs_std,log,xs_mean,log,log"
op_case_0047,v21_value_size_gate_value_log_size_rank_like,只有当低 PB 价值暴露的自然对数压缩高于市场均值时，才保留市值对数的横截面标准化规模信号。,"where(gt(log(recip(pb)), xs_mean(log(recip(pb)))), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), 0.0)",conditional_v21,"where,gt,div,log,xs_mean,sub,xs_std,recip,log,log,xs_mean,log,recip,log"
op_case_0048,v21_value_size_add_value_log_small_size_rank_like,同时考虑低 PB 价值暴露的自然对数压缩和小市值的横截面标准化暴露，两个风格越强综合得分越高。,"add(log(recip(pb)), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"add,log,neg,recip,div,sub,xs_std,log,xs_mean,log,log"
op_case_0049,v21_value_size_spread_value_log_small_size_rank_like,偏好低 PB 价值暴露的自然对数压缩更强且小市值的横截面标准化暴露更弱的股票。,"sub(log(recip(pb)), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"sub,log,neg,recip,div,sub,xs_std,log,xs_mean,log,log"
op_case_0050,v21_value_size_gate_value_log_small_size_rank_like,只有当低 PB 价值暴露的自然对数压缩高于市场均值时，才保留小市值的横截面标准化暴露信号。,"where(gt(log(recip(pb)), xs_mean(log(recip(pb)))), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), 0.0)",conditional_v21,"where,gt,neg,log,xs_mean,div,recip,log,sub,xs_std,recip,log,xs_mean,log,log"
op_case_0051,v21_value_size_add_value_sqrt_small_size,同时考虑低 PB 价值暴露的平方根压缩和小市值暴露，两个风格越强综合得分越高。,"add(sqrt(recip(pb)), neg(log(market_cap)))",fundamental_v21,"add,sqrt,neg,recip,log"
op_case_0052,v21_value_size_spread_value_sqrt_small_size,偏好低 PB 价值暴露的平方根压缩更强且小市值暴露更弱的股票。,"sub(sqrt(recip(pb)), neg(log(market_cap)))",fundamental_v21,"sub,sqrt,neg,recip,log"
op_case_0053,v21_value_size_gate_value_sqrt_small_size,只有当低 PB 价值暴露的平方根压缩高于市场均值时，才保留小市值暴露信号。,"where(gt(sqrt(recip(pb)), xs_mean(sqrt(recip(pb)))), neg(log(market_cap)), 0.0)",conditional_v21,"where,gt,neg,sqrt,xs_mean,log,recip,sqrt,recip"
op_case_0054,v21_value_size_add_value_sqrt_large_size,同时考虑低 PB 价值暴露的平方根压缩和大市值暴露，两个风格越强综合得分越高。,"add(sqrt(recip(pb)), log(market_cap))",fundamental_v21,"add,sqrt,log,recip"
op_case_0055,v21_value_size_spread_value_sqrt_large_size,偏好低 PB 价值暴露的平方根压缩更强且大市值暴露更弱的股票。,"sub(sqrt(recip(pb)), log(market_cap))",fundamental_v21,"sub,sqrt,log,recip"
op_case_0056,v21_value_size_gate_value_sqrt_large_size,只有当低 PB 价值暴露的平方根压缩高于市场均值时，才保留大市值暴露信号。,"where(gt(sqrt(recip(pb)), xs_mean(sqrt(recip(pb)))), log(market_cap), 0.0)",conditional_v21,"where,gt,log,sqrt,xs_mean,recip,sqrt,recip"
op_case_0057,v21_value_size_add_value_sqrt_size_rank_like,同时考虑低 PB 价值暴露的平方根压缩和市值对数的横截面标准化规模，两个风格越强综合得分越高。,"add(sqrt(recip(pb)), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"add,sqrt,div,recip,sub,xs_std,log,xs_mean,log,log"
op_case_0058,v21_value_size_spread_value_sqrt_size_rank_like,偏好低 PB 价值暴露的平方根压缩更强且市值对数的横截面标准化规模更弱的股票。,"sub(sqrt(recip(pb)), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"sub,sqrt,div,recip,sub,xs_std,log,xs_mean,log,log"
op_case_0059,v21_value_size_gate_value_sqrt_size_rank_like,只有当低 PB 价值暴露的平方根压缩高于市场均值时，才保留市值对数的横截面标准化规模信号。,"where(gt(sqrt(recip(pb)), xs_mean(sqrt(recip(pb)))), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), 0.0)",conditional_v21,"where,gt,div,sqrt,xs_mean,sub,xs_std,recip,sqrt,log,xs_mean,log,recip,log"
op_case_0060,v21_value_size_add_value_sqrt_small_size_rank_like,同时考虑低 PB 价值暴露的平方根压缩和小市值的横截面标准化暴露，两个风格越强综合得分越高。,"add(sqrt(recip(pb)), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"add,sqrt,neg,recip,div,sub,xs_std,log,xs_mean,log,log"
op_case_0061,v21_value_size_spread_value_sqrt_small_size_rank_like,偏好低 PB 价值暴露的平方根压缩更强且小市值的横截面标准化暴露更弱的股票。,"sub(sqrt(recip(pb)), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"sub,sqrt,neg,recip,div,sub,xs_std,log,xs_mean,log,log"
op_case_0062,v21_value_size_gate_value_sqrt_small_size_rank_like,只有当低 PB 价值暴露的平方根压缩高于市场均值时，才保留小市值的横截面标准化暴露信号。,"where(gt(sqrt(recip(pb)), xs_mean(sqrt(recip(pb)))), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), 0.0)",conditional_v21,"where,gt,neg,sqrt,xs_mean,div,recip,sqrt,sub,xs_std,recip,log,xs_mean,log,log"
op_case_0063,v21_value_size_add_value_rank_like_small_size,同时考虑PB 倒数的横截面标准化价值和小市值暴露，两个风格越强综合得分越高。,"add(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), neg(log(market_cap)))",fundamental_v21,"add,div,neg,sub,xs_std,log,recip,xs_mean,recip,recip"
op_case_0064,v21_value_size_spread_value_rank_like_small_size,偏好PB 倒数的横截面标准化价值更强且小市值暴露更弱的股票。,"sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), neg(log(market_cap)))",fundamental_v21,"sub,div,neg,sub,xs_std,log,recip,xs_mean,recip,recip"
op_case_0065,v21_value_size_gate_value_rank_like_small_size,只有当PB 倒数的横截面标准化价值高于市场均值时，才保留小市值暴露信号。,"where(gt(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), xs_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))), neg(log(market_cap)), 0.0)",conditional_v21,"where,gt,neg,div,xs_mean,log,sub,xs_std,div,recip,xs_mean,recip,sub,xs_std,recip,recip,xs_mean,recip,recip"
op_case_0066,v21_value_size_add_value_rank_like_large_size,同时考虑PB 倒数的横截面标准化价值和大市值暴露，两个风格越强综合得分越高。,"add(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), log(market_cap))",fundamental_v21,"add,div,log,sub,xs_std,recip,xs_mean,recip,recip"
op_case_0067,v21_value_size_spread_value_rank_like_large_size,偏好PB 倒数的横截面标准化价值更强且大市值暴露更弱的股票。,"sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), log(market_cap))",fundamental_v21,"sub,div,log,sub,xs_std,recip,xs_mean,recip,recip"
op_case_0068,v21_value_size_gate_value_rank_like_large_size,只有当PB 倒数的横截面标准化价值高于市场均值时，才保留大市值暴露信号。,"where(gt(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), xs_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))), log(market_cap), 0.0)",conditional_v21,"where,gt,log,div,xs_mean,sub,xs_std,div,recip,xs_mean,recip,sub,xs_std,recip,recip,xs_mean,recip,recip"
op_case_0069,v21_value_size_add_value_rank_like_size_rank_like,同时考虑PB 倒数的横截面标准化价值和市值对数的横截面标准化规模，两个风格越强综合得分越高。,"add(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"add,div,div,sub,xs_std,sub,xs_std,recip,xs_mean,recip,log,xs_mean,log,recip,log"
op_case_0070,v21_value_size_spread_value_rank_like_size_rank_like,偏好PB 倒数的横截面标准化价值更强且市值对数的横截面标准化规模更弱的股票。,"sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))))",fundamental_v21,"sub,div,div,sub,xs_std,sub,xs_std,recip,xs_mean,recip,log,xs_mean,log,recip,log"
op_case_0071,v21_value_size_gate_value_rank_like_size_rank_like,只有当PB 倒数的横截面标准化价值高于市场均值时，才保留市值对数的横截面标准化规模信号。,"where(gt(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), xs_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))), div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap))), 0.0)",conditional_v21,"where,gt,div,div,xs_mean,sub,xs_std,sub,xs_std,div,log,xs_mean,log,recip,xs_mean,recip,sub,xs_std,log,recip,recip,xs_mean,recip,recip"
op_case_0072,v21_value_size_add_value_rank_like_small_size_rank_like,同时考虑PB 倒数的横截面标准化价值和小市值的横截面标准化暴露，两个风格越强综合得分越高。,"add(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"add,div,neg,sub,xs_std,div,recip,xs_mean,recip,sub,xs_std,recip,log,xs_mean,log,log"
op_case_0073,v21_value_size_spread_value_rank_like_small_size_rank_like,偏好PB 倒数的横截面标准化价值更强且小市值的横截面标准化暴露更弱的股票。,"sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))))",fundamental_v21,"sub,div,neg,sub,xs_std,div,recip,xs_mean,recip,sub,xs_std,recip,log,xs_mean,log,log"
op_case_0074,v21_value_size_gate_value_rank_like_small_size_rank_like,只有当PB 倒数的横截面标准化价值高于市场均值时，才保留小市值的横截面标准化暴露信号。,"where(gt(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), xs_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))), neg(div(sub(log(market_cap), xs_mean(log(market_cap))), xs_std(log(market_cap)))), 0.0)",conditional_v21,"where,gt,neg,div,xs_mean,div,sub,xs_std,div,sub,xs_std,recip,xs_mean,recip,sub,xs_std,log,xs_mean,log,recip,recip,xs_mean,recip,log,recip"
op_case_0075,v21_industry_value_momentum_value_momentum_20,"行业内估值便宜且20 日价格动量较强的股票得分更高。（字段 close, industry, pb；核心算子 add, div, pct_change, sub, group_std, recip, group_mean；数值参数 20；参数化版本 1。）","add(div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry)), pct_change(close, 20))",group_v21,"add,div,pct_change,sub,group_std,recip,group_mean,recip,recip"
op_case_0076,v21_logic_value_momentum_value_momentum_20,"只有估值和20 日价格动量同时高于市场均值时，才保留组合信号。（字段 close, pb；核心算子 where, logical_and, add, gt, recip, pct_change, xs_mean；数值参数 20, 0.0；参数化版本 1。）","where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), add(recip(pb), pct_change(close, 20)), 0.0)",conditional_v21,"where,logical_and,add,gt,gt,recip,pct_change,recip,xs_mean,pct_change,xs_mean,recip,pct_change"
op_case_0077,v21_value_momentum_value_log_momentum_20,同时偏好低 PB 价值暴露的自然对数压缩和20 日价格动量较强的股票。,"add(log(recip(pb)), pct_change(close, 20))",fundamental_v21,"add,log,pct_change,recip"
op_case_0078,v21_industry_value_momentum_value_log_momentum_20,"行业内估值便宜且20 日价格动量较强的股票得分更高。（字段 close, industry, pb；核心算子 add, div, pct_change, sub, group_std, log, group_mean, recip；数值参数 20；参数化版本 2。）","add(div(sub(log(recip(pb)), group_mean(log(recip(pb)), industry)), group_std(log(recip(pb)), industry)), pct_change(close, 20))",group_v21,"add,div,pct_change,sub,group_std,log,group_mean,log,recip,log,recip,recip"
op_case_0079,v21_logic_value_momentum_value_log_momentum_20,"只有估值和20 日价格动量同时高于市场均值时，才保留组合信号。（字段 close, pb；核心算子 where, logical_and, add, gt, log, pct_change, xs_mean, recip；数值参数 20, 0.0；参数化版本 2。）","where(logical_and(gt(log(recip(pb)), xs_mean(log(recip(pb)))), gt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), add(log(recip(pb)), pct_change(close, 20)), 0.0)",conditional_v21,"where,logical_and,add,gt,gt,log,pct_change,log,xs_mean,pct_change,xs_mean,recip,recip,log,pct_change,recip"
op_case_0080,v21_value_momentum_value_sqrt_momentum_20,同时偏好低 PB 价值暴露的平方根压缩和20 日价格动量较强的股票。,"add(sqrt(recip(pb)), pct_change(close, 20))",fundamental_v21,"add,sqrt,pct_change,recip"
op_case_0081,v21_industry_value_momentum_value_sqrt_momentum_20,"行业内估值便宜且20 日价格动量较强的股票得分更高。（字段 close, industry, pb；核心算子 add, div, pct_change, sub, group_std, sqrt, group_mean, recip；数值参数 20；参数化版本 3。）","add(div(sub(sqrt(recip(pb)), group_mean(sqrt(recip(pb)), industry)), group_std(sqrt(recip(pb)), industry)), pct_change(close, 20))",group_v21,"add,div,pct_change,sub,group_std,sqrt,group_mean,sqrt,recip,sqrt,recip,recip"
op_case_0082,v21_logic_value_momentum_value_sqrt_momentum_20,"只有估值和20 日价格动量同时高于市场均值时，才保留组合信号。（字段 close, pb；核心算子 where, logical_and, add, gt, sqrt, pct_change, xs_mean, recip；数值参数 20, 0.0；参数化版本 3。）","where(logical_and(gt(sqrt(recip(pb)), xs_mean(sqrt(recip(pb)))), gt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), add(sqrt(recip(pb)), pct_change(close, 20)), 0.0)",conditional_v21,"where,logical_and,add,gt,gt,sqrt,pct_change,sqrt,xs_mean,pct_change,xs_mean,recip,recip,sqrt,pct_change,recip"
op_case_0083,v21_value_momentum_value_rank_like_momentum_20,同时偏好PB 倒数的横截面标准化价值和20 日价格动量较强的股票。,"add(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), pct_change(close, 20))",fundamental_v21,"add,div,pct_change,sub,xs_std,recip,xs_mean,recip,recip"
op_case_0084,v21_industry_value_momentum_value_rank_like_momentum_20,"行业内估值便宜且20 日价格动量较强的股票得分更高。（字段 close, industry, pb；核心算子 add, div, pct_change, sub, group_std, group_mean, xs_std, recip, xs_mean；数值参数 20；参数化版本 4。）","add(div(sub(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), group_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), industry)), group_std(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), industry)), pct_change(close, 20))",group_v21,"add,div,pct_change,sub,group_std,div,group_mean,div,sub,xs_std,div,sub,xs_std,recip,xs_mean,recip,sub,xs_std,recip,xs_mean,recip,recip,recip,xs_mean,recip,recip,recip"
op_case_0085,v21_logic_value_momentum_value_rank_like_momentum_20,"只有估值和20 日价格动量同时高于市场均值时，才保留组合信号。（字段 close, pb；核心算子 where, logical_and, add, gt, div, pct_change, xs_mean, sub, xs_std, recip；数值参数 20, 0.0；参数化版本 4。）","where(logical_and(gt(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), xs_mean(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))), gt(pct_change(close, 20), xs_mean(pct_change(close, 20)))), add(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))), pct_change(close, 20)), 0.0)",conditional_v21,"where,logical_and,add,gt,gt,div,pct_change,div,xs_mean,pct_change,xs_mean,sub,xs_std,sub,xs_std,div,pct_change,recip,xs_mean,recip,recip,xs_mean,recip,sub,xs_std,recip,recip,recip,xs_mean,recip,recip"
op_case_0086,v21_value_momentum_value_momentum_60,同时偏好低 PB 价值暴露和60 日价格动量较强的股票。,"add(recip(pb), pct_change(close, 60))",fundamental_v21,"add,recip,pct_change"
